Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,lag_1,lag_4,lag_12,rolling_mean_4
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,1391256.12,1594968.28,1643690.9,1499425.3025
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,1425100.71,1545418.53,1641957.44,1456958.41
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,1603955.12,1466058.28,1611968.17,1471592.5575
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,1494251.5,1391256.12,1409727.59,1478640.8625
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,1399662.07,1425100.71,1554806.68,1480742.35
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,1432069.95,1603955.12,1439541.59,1482484.6600000001
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,1615524.71,1494251.5,1472515.79,1485377.0575
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,1542561.09,1399662.07,1404429.92,1497454.455
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,1503284.06,1432069.95,1594968.28,1523359.9525
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,1422711.6,1615524.71,1545418.53,1521020.365
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,1492418.14,1542561.09,1466058.28,1490243.7225
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,1546074.18,1503284.06,1391256.12,1491121.9949999999
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,1448938.92,1422711.6,1425100.71,1477535.71
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,1385065.2,1492418.14,1603955.12,1468124.1099999999
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,1371986.6,1546074.18,1494251.5,1438016.225
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,1605491.78,1448938.92,1399662.07,1452870.625
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,1508237.76,1385065.2,1432069.95,1467695.335
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,1513080.49,1371986.6,1615524.71,1499699.1575
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,1449142.92,1605491.78,1542561.09,1518988.2374999998
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,1540163.53,1508237.76,1503284.06,1502656.175
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,1507460.69,1513080.49,1422711.6,1502461.9074999997
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,1430378.67,1449142.92,1492418.14,1481786.4525000001
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,1351791.03,1540163.53,1546074.18,1457448.48
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,1453329.5,1507460.69,1448938.92,1435739.9725
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,1508239.93,1430378.67,1385065.2,1435934.7824999997
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,1459409.1,1351791.03,1371986.6,1443192.39
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,1345454.0,1453329.5,1605491.78,1441608.1325
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,1384209.22,1508239.93,1508237.76,1424328.0625
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,1551659.28,1459409.1,1513080.49,1435182.9
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,1494479.49,1345454.0,1449142.92,1443950.4975
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,1483784.18,1384209.22,1540163.53,1478533.0425
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,1955624.11,1551659.28,1507460.69,1621386.765
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,1548033.78,1494479.49,1430378.67,1620480.39
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,1682614.26,1483784.18,1351791.03,1667514.0825
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,1891034.93,1955624.11,1453329.5,1769326.77
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2387950.2,1548033.78,1508239.93,1877408.2925
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,1367320.01,1682614.26,1459409.1,1832229.85
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,1444732.28,1891034.93,1345454.0,1772759.355
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,1391013.96,2387950.2,1384209.22,1647754.1125000003
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,1327405.42,1367320.01,1551659.28,1382617.9175
